date,open,high,low,close,volume
2020-04-06,236.408197,244.806816,227.541974,242.844681,188061200
2020-04-07,251.417445,252.169292,242.872152,243.092194,201427200
2020-04-08,245.687022,253.058741,243.202286,251.252487,153774500
2020-04-09,254.507363,257.826490,252.572761,255.075851,189999200
2020-04-13,254.104016,254.443257,248.850286,252.747025,114839100
2020-04-14,257.624774,261.218925,252.609442,260.201202,134143400
2020-04-15,254.498200,260.338717,252.563570,254.672409,121775000
2020-04-16,255.946895,256.753753,252.838688,255.901062,131798300
2020-04-17,261.658963,263.419355,258.926653,262.814240,146684800
2020-04-20,259.119258,262.951835,257.964009,258.184052,100109300
2020-04-21,253.728044,254.929154,249.409522,250.344757,126385700
2020-04-22,255.213402,257.643127,253.893094,255.901062,92951600
2020-04-23,257.175448,260.338692,255.580087,255.882645,104709700
2020-04-24,257.395570,260.118703,255.350919,259.449371,85063200
2020-04-27,261.420706,264.308871,260.962266,263.190277,77896600
2020-04-28,266.830222,267.178640,261.677364,261.979950,105270000
2020-04-29,267.297875,270.369427,266.270975,268.838226,118745600
2020-04-30,267.462827,268.939017,264.602168,266.335083,122901700
2020-05-01,261.594858,266.500169,258.119878,259.284332,125180000
2020-05-04,257.404727,260.302070,255.928565,259.999512,80873200
2020-05-05,262.814340,265.207382,260.127862,262.401733,79569900
2020-05-06,264.097967,264.483041,260.192051,260.622986,73632600
2020-05-07,263.832011,265.693274,263.263550,263.767822,75250400
2020-05-08,266.894409,268.599820,265.766638,268.132202,76452400
2020-05-11,266.206762,269.562544,265.785006,268.187225,79514200
2020-05-12,269.369910,269.782489,262.704182,262.841736,95870800
2020-05-13,262.282511,263.318590,255.772662,258.193237,144721100
2020-05-14,255.763568,261.411521,250.298945,261.283173,121977900
2020-05-15,258.899251,262.530086,257.954866,262.484253,111146300
2020-05-18,268.691475,272.083939,268.370589,270.479401,119703800
2020-05-19,269.883441,271.588823,267.682936,267.701263,95189300
2020-05-20,271.231270,273.110862,271.002050,272.248993,85861700
2020-05-21,272.120689,272.927548,269.278357,270.369446,78293900
2020-05-22,270.085193,271.057083,268.847400,270.882874,63958200
2020-05-26,276.833388,277.071785,270.901177,274.220276,88951400
2020-05-27,277.007581,278.337068,272.193965,278.300385,104817400
2020-05-28,279.327338,281.335307,277.117655,277.786987,90405200
2020-05-29,277.319370,279.611569,274.577909,279.024780,119090800
2020-06-01,278.382956,280.757671,277.869506,280.152527,55758300
2020-06-02,281.069344,282.518029,279.739886,282.472168,74267200
2020-06-03,284.452666,287.184977,284.177614,286.231415,92567600
2020-06-04,285.250333,286.983249,283.389069,285.479553,75794400
2020-06-05,290.861663,294.565835,290.797474,292.796265,150524700
2020-06-08,293.603108,296.527956,293.062153,296.335419,73641200
2020-06-09,293.676503,296.408815,292.814634,294.125793,77479200
2020-06-10,294.703357,295.592731,291.769332,292.484497,95000800
2020-06-11,285.571192,286.203841,275.072942,275.623047,209243600
2020-06-12,282.618881,283.389057,273.780179,278.923859,194678900
2020-06-15,273.248382,282.655573,272.074777,281.527802,135782700
2020-06-16,289.257118,289.403822,282.096292,286.946564,137627500
2020-06-17,287.964260,288.257668,285.021057,285.754578,83398900
2020-06-18,284.241788,286.341422,283.783348,285.864655,80828700
2020-06-19,289.323611,289.516995,282.287814,284.230957,135549600
2020-06-22,283.632343,286.450338,282.490419,286.054352,74649400
2020-06-23,288.697304,289.627436,286.965981,287.371185,68471200
2020-06-24,285.335997,285.953021,278.208131,280.040741,132813500
2020-06-25,279.469787,283.310011,277.452983,283.042938,89468000
2020-06-26,281.947082,282.158902,275.740130,276.320282,127961000
2020-06-29,277.572814,280.519723,275.288936,280.381592,79773300
2020-06-30,279.948663,285.667560,279.792123,283.973053,113394800
2020-07-01,285.087368,287.223895,284.626911,285.962219,72396500
2020-07-02,289.388036,290.732591,286.873959,287.537018,69344200
2020-07-06,291.349615,292.556011,290.603677,291.975830,61713800
2020-07-07,290.437915,292.408657,288.586869,288.964447,82910000
2020-07-08,289.728840,291.285188,287.969919,291.174683,54638600
2020-07-09,291.782439,292.021886,286.109605,289.516998,83354200
